frame,time_sec,id,role,status,danger
10373,346.11,14,darkmechanic,IDLE,0
10374,346.14,14,darkmechanic,IDLE,0
10375,346.17,14,darkmechanic,IDLE,0
10376,346.21,14,darkmechanic,IDLE,0
10377,346.24,14,darkmechanic,IDLE,0
10378,346.27,14,darkmechanic,IDLE,0
10379,346.31,14,darkmechanic,IDLE,0
10380,346.34,14,darkmechanic,IDLE,0
10381,346.37,14,darkmechanic,IDLE,0
10382,346.41,14,darkmechanic,IDLE,0
10383,346.44,14,darkmechanic,IDLE,0
10384,346.47,14,darkmechanic,IDLE,0
10385,346.51,14,darkmechanic,IDLE,0
10386,346.54,14,darkmechanic,IDLE,0
10387,346.57,14,darkmechanic,IDLE,0
10388,346.61,14,darkmechanic,IDLE,0
10389,346.64,14,darkmechanic,IDLE,0
10390,346.67,14,darkmechanic,IDLE,0
10390,346.67,18,manager,DANGEROUS SITUATION,1
10391,346.71,14,darkmechanic,IDLE,0
10391,346.71,18,manager,DANGEROUS SITUATION,1
10392,346.74,14,darkmechanic,IDLE,0
10392,346.74,18,manager,WORKING,0
10393,346.77,14,darkmechanic,IDLE,0
10393,346.77,18,manager,DANGEROUS SITUATION,1
10394,346.81,14,darkmechanic,IDLE,0
10394,346.81,18,manager,DANGEROUS SITUATION,1
10395,346.84,14,darkmechanic,IDLE,0
10395,346.84,18,manager,DANGEROUS SITUATION,1
10396,346.87,14,darkmechanic,IDLE,0
10396,346.87,18,manager,DANGEROUS SITUATION,1
10397,346.91,14,darkmechanic,IDLE,0
10397,346.91,18,manager,DANGEROUS SITUATION,1
10398,346.94,14,darkmechanic,IDLE,0
10398,346.94,18,manager,DANGEROUS SITUATION,1
10399,346.97,14,darkmechanic,IDLE,0
10400,347.01,14,darkmechanic,IDLE,0
10401,347.04,14,darkmechanic,IDLE,0
10402,347.07,14,darkmechanic,IDLE,0
10403,347.11,14,darkmechanic,IDLE,0
10404,347.14,14,darkmechanic,IDLE,0
10405,347.17,14,darkmechanic,IDLE,0
10406,347.21,14,darkmechanic,IDLE,0
10407,347.24,14,darkmechanic,IDLE,0
10408,347.27,14,darkmechanic,IDLE,0
10409,347.31,14,darkmechanic,IDLE,0
10410,347.34,14,darkmechanic,IDLE,0
10411,347.37,14,darkmechanic,IDLE,0
10412,347.41,14,darkmechanic,IDLE,0
10413,347.44,14,darkmechanic,IDLE,0
10414,347.47,14,darkmechanic,IDLE,0
10415,347.51,14,darkmechanic,IDLE,0
10416,347.54,14,darkmechanic,IDLE,0
10417,347.57,14,darkmechanic,IDLE,0
10418,347.61,14,darkmechanic,IDLE,0
10419,347.64,14,darkmechanic,IDLE,0
10420,347.67,14,darkmechanic,IDLE,0
10421,347.71,14,darkmechanic,IDLE,0
10422,347.74,14,darkmechanic,IDLE,0
10423,347.77,14,darkmechanic,IDLE,0
10424,347.81,14,darkmechanic,IDLE,0
10425,347.84,14,darkmechanic,IDLE,0
10426,347.87,14,darkmechanic,IDLE,0
10427,347.91,14,darkmechanic,IDLE,0
10428,347.94,14,darkmechanic,IDLE,0
10429,347.97,14,darkmechanic,IDLE,0
10430,348.01,14,darkmechanic,IDLE,0
10431,348.04,14,darkmechanic,IDLE,0
10432,348.07,14,darkmechanic,IDLE,0
10432,348.07,19,manager,DANGEROUS SITUATION,1
10433,348.11,14,darkmechanic,IDLE,0
10433,348.11,19,manager,DANGEROUS SITUATION,1
10434,348.14,14,darkmechanic,IDLE,0
10434,348.14,19,manager,DANGEROUS SITUATION,1
10435,348.17,14,darkmechanic,IDLE,0
10435,348.17,19,manager,DANGEROUS SITUATION,1
10436,348.21,14,darkmechanic,IDLE,0
10436,348.21,19,manager,DANGEROUS SITUATION,1
10437,348.24,14,darkmechanic,IDLE,0
10437,348.24,19,manager,DANGEROUS SITUATION,1
10438,348.27,14,darkmechanic,IDLE,0
10438,348.27,19,manager,DANGEROUS SITUATION,1
10439,348.31,14,darkmechanic,IDLE,0
10439,348.31,19,manager,DANGEROUS SITUATION,1
10440,348.34,14,darkmechanic,IDLE,0
10440,348.34,19,manager,WORKING,0
10441,348.37,14,darkmechanic,IDLE,0
10441,348.37,19,manager,WORKING,0
10442,348.41,14,darkmechanic,IDLE,0
10442,348.41,19,manager,DANGEROUS SITUATION,1
10443,348.44,14,darkmechanic,IDLE,0
10443,348.44,19,manager,DANGEROUS SITUATION,1
10444,348.47,14,darkmechanic,IDLE,0
10444,348.47,19,manager,DANGEROUS SITUATION,1
10445,348.51,14,darkmechanic,IDLE,0
10445,348.51,19,manager,DANGEROUS SITUATION,1
10446,348.54,14,darkmechanic,IDLE,0
10446,348.54,19,manager,DANGEROUS SITUATION,1
10447,348.57,14,darkmechanic,IDLE,0
10447,348.57,19,manager,DANGEROUS SITUATION,1
10448,348.61,14,darkmechanic,IDLE,0
10448,348.61,19,manager,DANGEROUS SITUATION,1
10449,348.64,14,darkmechanic,IDLE,0
10449,348.64,19,manager,DANGEROUS SITUATION,1
10450,348.67,14,darkmechanic,IDLE,0
10450,348.67,19,manager,DANGEROUS SITUATION,1
10451,348.71,14,darkmechanic,IDLE,0
